city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Stockholms,Vällingby,Ullvidevägen,63,Ullvidevägen 63A,2,71,2015000,27,juni,2019,1595000,3618,LägenhetLägenhet,NA,4800,1983,NA, Jannike Swacke Clarke , Fastighetsbyrån Vällingby 
Stockholms,Bromma,Stångjärnsvägen,9,Stångjärnsvägen 9,2,46,2430000,27,juni,2019,1995000,2728,LägenhetLägenhet,NA,5544,1946,NA, Julia Hast , Notar 
Stockholms,Bromma,Stångjärnsvägen,6,Stångjärnsvägen 6,2,46,2210000,27,juni,2019,1695000,2641,LägenhetLägenhet,NA,3600,1946,NA, Julia Hast , Notar 
Nacka,Alphyddan,Alphyddevägen,35,Alphyddevägen 35,1,38.5,2210000,27,juni,2019,1895000,2361,LägenhetLägenhet,NA,2760,1962,NA, Martin Tillberg , Mäklarhuset Nacka 
Nacka,Jarlaberg,Trillans väg,2,Trillans väg 2,NA,63,2380000,26,juni,2019,1995000,4059,LägenhetLägenhet,NA,NA,1989,NA, Jonathan Karlöf , HusmanHagberg Nacka 
Stockholms,Äppelviken,Runda vägen,17,Runda vägen 17,2,49.5,2330000,26,juni,2019,2095000,3988,LägenhetLägenhet,NA,4500,1934,NA, Erica Holmberg , Fastighetsbyrån Bromma 
Solna,Solna,Råsundavägen,134,Råsundavägen 134,1,28,2280000,26,juni,2019,1695000,2236,LägenhetLägenhet,NA,4728,1951,NA, Lawan Farag , Notar 
Stockholms,Vasastan,Hälsingegatan,35,Hälsingegatan 35 1 tr,1,20.5,2350000,26,juni,2019,1900000,1437,LägenhetLägenhet,1,NA,1924,NA, Rebecca Löwå , HusmanHagberg Vasastan 
Nacka,Västra,Ornövägen,32,Ornövägen 32,3,81,2250000,25,juni,2019,2195000,4787,LägenhetLägenhet,NA,8128,1970,NA, CarlMagnus Ekström , Fastighetsbyrån Nacka 
Stockholms,Stockholms,Sköntorpsvägen,115,Sköntorpsvägen 115,1,31,2400000,25,juni,2019,2400000,2157,LägenhetLägenhet,NA,NA,1963,NA, Sara Kristensen , Svensk Fastighetsförmedling Årsta 
Solna,Västra,Johan Enbergs väg,58,Johan Enbergs väg 58,2,49,2500000,25,juni,2019,2195000,2320,LägenhetLägenhet,NA,5940,NA,NA, Johanna Ekberg , Svensk Fastighetsförmedling Solna 
